town,n,mv_sum,netcon,median_sales,median_ass,mad,mean,weighted,prd,cod,descr,tax_year,tri
73,5379,974500466,1847771555,0.54,8.6,0.08,0.532,0.53,1.01,12.45,Lake View,2003,1
74,3244,674694210,1281103896,0.54,8.6,0.09,0.535,0.53,1.02,13.42,North,2003,1
71,6141,929447997,1775492231,0.53,8.5,0.08,0.531,0.52,1.01,12.61,Jefferson,2003,1
72,5789,505693842,996341620,0.52,8.3,0.08,0.519,0.51,1.02,14.03,Lake,2003,1
77,4200,632736613,1261105219,0.52,8.3,0.1,0.513,0.5,1.02,15.89,West,2003,1
70,2226,186339725,376100261,0.51,8.2,0.12,0.514,0.5,1.04,17.71,Hyde Park,2003,1
75,954,114404690,227127793,0.51,8.2,0.08,0.505,0.5,1,13.56,Rogers Park,2003,1
76,1398,187915345,386863958,0.49,7.9,0.09,0.495,0.49,1.02,15.19,South,2003,1
71,5153,1042137418,1874318792,0.57,9,0.08,0.563,0.56,1.01,11.83,Jefferson,2006,1
72,5374,667339809,1236122390,0.55,8.8,0.09,0.551,0.54,1.02,13.68,Lake,2006,1
73,4852,1109241424,2027605010,0.55,8.8,0.07,0.549,0.55,1,11.13,Lake View,2006,1
75,908,139196644,255912546,0.55,8.8,0.08,0.544,0.54,1,11.72,Rogers Park,2006,1
70,2858,337158951,659239084,0.53,8.5,0.11,0.529,0.51,1.03,16.09,Hyde Park,2006,1
74,2949,789963125,1565907546,0.52,8.3,0.08,0.516,0.5,1.02,13,North,2006,1
77,4390,861085754,1668240682,0.52,8.3,0.09,0.524,0.52,1.02,14.54,West,2006,1
76,1383,247174797,499999042,0.5,8,0.08,0.505,0.49,1.02,13.83,South,2006,1
71,2219,660658585,612427857,1.12,11.2,0.26,1.134,1.08,1.05,20.58,Jefferson,2009,1
75,394,93635362,92471270,1.05,10.5,0.24,1.05,1.01,1.04,21.86,Rogers Park,2009,1
72,1432,273173785,277683483,1.03,10.3,0.29,1.046,0.98,1.06,23.55,Lake,2009,1
73,2688,994672302,1088642924,0.95,9.5,0.15,0.945,0.91,1.03,16.48,Lake View,2009,1
70,727,134207585,151076386,0.93,9.3,0.26,0.958,0.89,1.08,25.36,Hyde Park,2009,1
74,1816,767184374,940250381,0.88,8.8,0.15,0.861,0.82,1.05,17.48,North,2009,1
77,1843,586399355,681804126,0.87,8.7,0.18,0.896,0.86,1.04,22.24,West,2009,1
76,920,275413595,368699250,0.82,8.2,0.18,0.815,0.75,1.09,21.83,South,2009,1
71,2291,596264518,587468812,1.07,10.6,0.3,1.111,1.01,1.09,23.45,Jefferson,2010,1
75,283,56375951,58743574,1.06,10.6,0.35,1.107,0.96,1.15,27.79,Rogers Park,2010,1
72,1355,210945775,222670282,0.99,9.8,0.29,1.018,0.95,1.07,24.51,Lake,2010,1
73,2934,1104972529,1258411607,0.94,9.4,0.16,0.944,0.88,1.08,17.29,Lake View,2010,1
70,571,103203749,121013792,0.92,9.2,0.32,0.96,0.85,1.13,30.83,Hyde Park,2010,1
77,1924,594265830,697987585,0.88,8.8,0.17,0.911,0.85,1.07,20.76,West,2010,1
74,2233,997796390,1223562400,0.87,8.7,0.15,0.87,0.82,1.07,15.64,North,2010,1
