town,cod,descr,tax_year,tri
70,17.71,Hyde Park,2003,1
71,12.61,Jefferson,2003,1
72,14.03,Lake,2003,1
73,12.45,Lake View,2003,1
74,13.42,North,2003,1
75,13.56,Rogers Park,2003,1
76,15.19,South,2003,1
77,15.89,West,2003,1
70,16.09,Hyde Park,2006,1
71,11.83,Jefferson,2006,1
72,13.68,Lake,2006,1
73,11.13,Lake View,2006,1
74,13,North,2006,1
75,11.72,Rogers Park,2006,1
76,13.83,South,2006,1
77,14.54,West,2006,1
70,25.36,Hyde Park,2009,1
71,20.58,Jefferson,2009,1
72,23.55,Lake,2009,1
73,16.48,Lake View,2009,1
74,17.48,North,2009,1
75,21.86,Rogers Park,2009,1
76,21.83,South,2009,1
77,22.24,West,2009,1
70,30.83,Hyde Park,2010,1
71,23.45,Jefferson,2010,1
72,24.51,Lake,2010,1
73,17.29,Lake View,2010,1
74,15.64,North,2010,1
75,27.79,Rogers Park,2010,1
76,20.34,South,2010,1
77,20.76,West,2010,1
70,20.91,Hyde Park,2015,1
71,16.01,Jefferson,2015,1
72,18.02,Lake,2015,1
73,13.37,Lake View,2015,1
74,12.58,North,2015,1
75,17.33,Rogers Park,2015,1
76,15.51,South,2015,1
77,15.76,West,2015,1
10,12.85,Barrington,2004,2
16,9.49,Elk Grove,2004,2
17,13.03,Evanston,2004,2
18,9.32,Hanover,2004,2
26,12.78,Leyden,2004,2
22,11.47,Maine,2004,2
23,14.79,New Trier,2004,2
24,13.98,Niles,2004,2
25,11.49,Northfield,2004,2
20,11.87,Norwood Park,2004,2
29,9.52,Palatine,2004,2
35,8.81,Schaumberg,2004,2
38,10.06,Wheeling,2004,2
10,13.78,Barrington,2007,2
16,9.85,Elk Grove,2007,2
17,11.66,Evanston,2007,2
18,9.06,Hanover,2007,2
26,13.35,Leyden,2007,2
22,11.71,Maine,2007,2
23,13.27,New Trier,2007,2
24,16.84,Niles,2007,2
25,12.71,Northfield,2007,2
20,14.28,Norwood Park,2007,2
29,10.65,Palatine,2007,2
35,9.48,Schaumberg,2007,2
38,10.47,Wheeling,2007,2
10,17.69,Barrington,2010,2
16,17.47,Elk Grove,2010,2
17,18.32,Evanston,2010,2
18,15.87,Hanover,2010,2
26,16.39,Leyden,2010,2
22,20.15,Maine,2010,2
23,19.74,New Trier,2010,2
24,20.42,Niles,2010,2
25,15.78,Northfield,2010,2
20,22.12,Norwood Park,2010,2
29,15.05,Palatine,2010,2
35,14.22,Schaumberg,2010,2
38,16.43,Wheeling,2010,2
10,16.4,Barrington,2013,2
16,15.07,Elk Grove,2013,2
17,20.2,Evanston,2013,2
18,13.59,Hanover,2013,2
22,17.66,Maine,2013,2
23,18,New Trier,2013,2
24,17.68,Niles,2013,2
25,15.83,Northfield,2013,2
29,13.38,Palatine,2013,2
35,13.31,Schaumberg,2013,2
20,18.27,Norwood Park,2013,2
38,14.21,Wheeling,2013,2
11,10.17,Berwyn,2005,3
12,14.12,Bloom,2005,3
13,12.35,Bremen,2005,3
14,16.14,Calumet,2005,3
15,10.67,Cicero,2005,3
19,13.12,Lemont,2005,3
21,15.23,Lyons,2005,3
27,11.89,Oak Park,2005,3
28,12.08,Orland,2005,3
30,11.74,Palos,2005,3
31,12.71,Proviso,2005,3
32,12.79,Rich,2005,3
33,13.01,River Forest,2005,3
34,13.21,Riverside,2005,3
36,16.68,Stickney,2005,3
37,15.29,Thorton,2005,3
39,14.13,Worth,2005,3
11,15.58,Berwyn,2008,3
12,20.46,Bloom,2008,3
13,15.9,Bremen,2008,3
14,21.93,Calumet,2008,3
15,17.95,Cicero,2008,3
19,16.56,Lemont,2008,3
21,18.63,Lyons,2008,3
27,15.88,Oak Park,2008,3
28,11.47,Orland,2008,3
30,14.55,Palos,2008,3
31,18.73,Proviso,2008,3
32,18.54,Rich,2008,3
33,15.84,River Forest,2008,3
34,19.41,Riverside,2008,3
36,18.27,Stickney,2008,3
37,19.61,Thorton,2008,3
39,17.77,Worth,2008,3
11,26.71,Berwyn,2011,3
12,26.26,Bloom,2011,3
13,24.04,Bremen,2011,3
14,29.62,Calumet,2011,3
15,24.48,Cicero,2011,3
19,15.14,Lemont,2011,3
21,24.4,Lyons,2011,3
27,21.39,Oak Park,2011,3
28,14.86,Orland,2011,3
30,20.46,Palos,2011,3
31,25.2,Proviso,2011,3
32,22.75,Rich,2011,3
33,18.33,River Forest,2011,3
34,20.01,Riverside,2011,3
36,26.26,Stickney,2011,3
37,29.18,Thorton,2011,3
39,24.27,Worth,2011,3
11,19.07,Berwyn,2014,3
12,16.42,Bloom,2014,3
13,15.19,Bremen,2014,3
14,15.61,Calumet,2014,3
15,21.37,Cicero,2014,3
19,12.2,Lemont,2014,3
21,16.73,Lyons,2014,3
27,16.56,Oak Park,2014,3
28,11.1,Orland,2014,3
30,13.6,Palos,2014,3
31,18.27,Proviso,2014,3
32,14.97,Rich,2014,3
33,13.94,River Forest,2014,3
34,16.4,Riverside,2014,3
36,17.2,Stickney,2014,3
37,19.48,Thorton,2014,3
39,16.62,Worth,2014,3
